,district,year,case_number,population,population_year,cases_year,expected,SIR,mean,sd,CropRainfed.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,Herbaceous.n.patches,Herbaceous.total.area,Herbaceous.patch.density,CropIrrigate.n.patches,SparseVeg.n.patches,CropIrrigate.total.area,SparseVeg.total.area,CropIrrigate.patch.density,SparseVeg.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,Shrub.n.patches,Shrub.total.area,Shrub.patch.density,ShrubEvg.n.patches,ShrubEvg.total.area,ShrubEvg.patch.density
21,Bintulu,2010,47,189146,2471150,1142,87.41061125,0.537692156,11.38671144,0.49082093,231,138,762,769,293,147,22,15,50,10901.92597,33234.2281,112267.9508,113234.1037,402005.7987,13394.67728,4247.406688,2978.575841,1097.844738,0.000323801,0.00019344,0.001068124,0.001077937,0.000410709,0.000206055,3.08E-05,2.10E-05,7.01E-05,252,19808.45349,0.000353238,7,0,152.731778,0,9.81E-06,0,0,0,0,3,76.33646922,4.21E-06,0,0,0
22,Bintulu,2011,47,208060.6,2718265,1172,89.70686199,0.523928705,9.285798391,0.099482377,231,155,776,796,306,148,22,17,50,10901.91721,32957.57194,113222.6274,114637.5434,399046.126,12516.39347,4247.406688,3035.853857,1097.844738,0.000323801,0.000217269,0.001087749,0.001115784,0.000428932,0.000207457,3.08E-05,2.38E-05,7.01E-05,265,21498.13558,0.000371461,8,0,162.2768498,0,1.12E-05,0,0,0,0,3,76.33646922,4.21E-06,0,0,0
23,Bintulu,2012,43,228866.66,2990091.5,1218,93.22777978,0.461235912,10.2304039,0.495815216,231,156,797,791,322,141,22,19,49,10921.00685,32843.04619,114454.1633,117205.7652,394444.3556,12182.2775,4247.406688,3140.870375,1069.207361,0.000323801,0.000218671,0.001117185,0.001108775,0.00045136,0.000197645,3.08E-05,2.66E-05,6.87E-05,290,22653.32116,0.000406504,8,0,162.2768498,0,1.12E-05,0,0,0,0,3,76.33646922,4.21E-06,0,0,0
24,Bintulu,2013,47,251753.326,3289100.65,1000,76.54169112,0.614044442,10.53213056,0.34458005,229,157,810,786,331,143,22,21,49,10854.18697,32642.615,113604.7894,117148.6793,395226.6157,11838.55422,4247.406688,3245.884276,1069.207361,0.000320998,0.000220073,0.001135408,0.001101766,0.000463975,0.000200449,3.08E-05,2.94E-05,6.87E-05,308,23283.48133,0.000431735,8,0,162.2768498,0,1.12E-05,0,0,0,0,3,76.33646922,4.21E-06,0,0,0
25,Bintulu,2014,38,276928.6586,3618010.715,1076,82.35885964,0.461395412,9.42690595,0.521218332,229,173,838,797,336,143,22,21,49,10873.28433,29206.88676,115285.2563,121120.4111,391520.6177,10902.77193,4247.406688,3255.43177,1069.207361,0.000320998,0.000242501,0.001174657,0.001117185,0.000470984,0.000200449,3.08E-05,2.94E-05,6.87E-05,329,25680.14633,0.000461172,8,0,162.2768498,0,1.12E-05,0,0,0,0,3,76.33646922,4.21E-06,0,0,0
26,Dalat,2010,13,19062,2471150,1142,8.809179532,1.475733348,9.817380905,0.475309904,35,24,122,133,59,34,11,1,22,2359.040393,1556.682636,18137.79003,18003.50527,51231.90417,12732.1881,372.4530567,9.550794022,668.5113596,0.000329423,0.00022589,0.001148274,0.001251806,0.000555313,0.000320011,0.000103533,9.41E-06,0.000207066,16,725.9252363,0.000150593,0,5,0,448.9072243,0,4.71E-05,0,0,0,0,0,0,0,0,0
27,Dalat,2011,3,20968.2,2718265,1172,9.040594055,0.331836601,9.169091702,0.022747834,35,24,124,135,58,34,11,1,22,2359.040393,1556.682636,18433.90493,18060.8154,51012.21154,12407.40924,372.4530567,9.550794022,668.5113596,0.000329423,0.00022589,0.001167098,0.001270631,0.000545901,0.000320011,0.000103533,9.41E-06,0.000207066,17,735.4776091,0.000160005,0,6,0,630.4012975,0,5.65E-05,0,0,0,0,0,0,0,0,0
28,Dalat,2012,66,23065.02,2990091.5,1218,9.395429658,7.024692047,9.476130486,0.286711861,35,24,130,134,58,34,11,1,22,2359.040393,1556.682636,18768.21159,18500.14243,50420.07257,12025.31656,372.4530567,9.550794022,668.5113596,0.000329423,0.00022589,0.00122357,0.001261219,0.000545901,0.000320011,0.000103533,9.41E-06,0.000207066,19,783.2395887,0.000178829,0,9,0,783.2372918,0,8.47E-05,0,0,0,0,0,0,0,0,0
29,Dalat,2013,61,25371.522,3289100.65,1000,7.713817453,7.90788742,8.434658051,0.559000732,35,24,134,135,62,35,11,1,22,2359.040393,1547.131931,18921.04356,19111.44795,49560.41071,11948.89922,372.4530567,19.10156705,668.5113596,0.000329423,0.00022589,0.001261219,0.001270631,0.000583549,0.000329423,0.000103533,9.41E-06,0.000207066,23,859.6598193,0.000216478,0,15,0,878.7587048,0,0.000141181,0,0,0,0,0,0,0,0,0
30,Dalat,2014,66,27908.6742,3618010.715,1076,8.30006758,7.951742485,9.332374096,0.12262575,35,25,127,125,69,34,11,1,22,2359.040393,1508.929601,19417.74482,20477.31995,47669.17445,11920.24255,372.4530567,19.10156705,668.5113596,0.000329423,0.000235302,0.001195334,0.00117651,0.000649433,0.000320011,0.000103533,9.41E-06,0.000207066,25,907.4216946,0.000235302,0,17,0,926.5188308,0,0.000160005,0,0,0,0,0,0,0,0,0
