,District,Year,Disease,Number.Cases,Incidence.Rate,Prevalence,Number.Deaths,Mortality.Rates,population,prec_mean,CropRainfed.n.patches,Herbaceous.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,Shrub.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,Herbaceous.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,Shrub.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,Herbaceous.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,Shrub.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,SparseVeg.n.patches,SparseVeg.total.area,SparseVeg.patch.density,CropIrrigate.n.patches,MosTreeHerb.n.patches,ShrubEvg.n.patches,Grass.n.patches,CropIrrigate.total.area,MosTreeHerb.total.area,ShrubEvg.total.area,Grass.total.area,CropIrrigate.patch.density,MosTreeHerb.patch.density,ShrubEvg.patch.density,Grass.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,SMR
32,Kota Marudu,2001,malaria,218,35.7,0.003498821,0,0,62306.7,9.079444989,18,21,1,153,117,43,0,20,5,5,27,2859.645999,978.603798,19.00852162,26782.60686,22793.28829,113957.9167,0,1140.017339,5822.897917,133.0055272,1073.33851,0.000102529,0.000119617,5.70E-06,0.000871495,0.000666438,0.00024493,0,0.000113921,2.85E-05,2.85E-05,0.000153793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.542823577
33,Kuala Penyu,2001,malaria,64,38.1,0.003668084,0,0,17447.8,9.774346044,12,1,1,35,71,24,1,41,32,4,78,485.4229125,19.03528339,19.03867109,7091.250102,7348.257846,15838.48839,47.59528693,2008.538856,11805.00854,57.10569519,1865.624631,0.000257381,2.14E-05,2.14E-05,0.000750695,0.001522839,0.000514763,2.14E-05,0.000879386,0.00068635,8.58E-05,0.001672978,1,38.07087947,2.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.617461019
34,Kudat,2001,malaria,259,37.1,0.003473969,1,0.4,74554.5,9.132892416,51,14,0,136,186,91,7,110,102,12,245,2476.396511,445.9914768,0,16660.08038,15606.00398,65629.63793,151.7627479,3282.974338,19944.84863,825.8408905,5958.342885,0.00038296,0.000105126,0,0.001021227,0.001396678,0.000683321,5.26E-05,0.000825993,0.00076592,9.01E-05,0.001839711,12,1982.522464,9.01E-05,7,0,1,0,180.2608133,0,28.45347692,0,5.26E-05,0,7.51E-06,0,0,0,0,1.53186476
35,Kunak,2001,malaria,581,119,0.010894635,1,0.2,53329,5.857394514,24,1,117,149,123,43,0,9,21,3,37,1991.639416,28.58949523,6346.535023,17972.62037,8986.258738,69556.16226,0,266.7878536,4144.884244,114.3574549,1400.73286,0.00021659,9.02E-06,0.001055875,0.001344661,0.001110022,0.000388057,0,8.12E-05,0.000189516,2.71E-05,0.000333909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.804046646
36,Lahad Datu,2001,malaria,376,23.3,0.002210516,2,0.5,170096,7.845494503,85,23,369,392,390,136,0,45,47,14,126,6152.1553,1152.485124,29636.66372,71876.46073,24763.19102,499790.08,0,1781.286393,13945.5602,695.3156245,2095.614217,0.00013039,3.53E-05,0.000566047,0.00060133,0.000598262,0.000208625,0,6.90E-05,7.21E-05,2.15E-05,0.000193284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974738831
37,Nabawan,2001,malaria,82,33.6,0.003155375,1,1.2,25987.4,7.271882543,10,15,14,262,236,35,7,36,0,0,0,247.6792974,752.4891765,228.760989,28234.59302,32241.06475,552555.4337,323.82785,1076.868319,0,0,0,1.62E-05,2.44E-05,2.27E-05,0.000425559,0.000383328,5.68E-05,1.14E-05,5.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.391379321
38,Papar,2001,malaria,6,0.6,6.25E-05,0,0,96049.3,9.270009792,39,22,9,112,89,76,1,19,11,22,28,4195.867419,970.4606547,456.8031846,14597.07832,17253.01343,83166.62758,76.12339011,646.9709609,1607.876745,570.8146426,399.6060428,0.000314303,0.000177299,7.25E-05,0.000902615,0.000717256,0.000612488,8.06E-06,0.000153122,8.86E-05,0.000177299,0.000225654,2,38.0630086,1.61E-05,4,0,0,0,104.6578852,0,0,0,3.22E-05,0,0,0,0,0,0,0.027545558
39,Penampang,2001,malaria,96,7,0.001060185,0,0,90550.2,8.896603981,20,24,0,31,27,8,0,0,2,5,1,846.4672319,932.0813496,0,3747.397371,1255.49613,36670.00056,0,0,38.04306608,2501.331535,57.06459675,0.000434331,0.000521197,0,0.000673212,0.000586346,0.000173732,0,0,4.34E-05,0.000108583,2.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467494324
40,Pitas,2001,malaria,332,104.8,0.009652454,0,0,34395.4,9.51550465,29,13,0,141,170,80,4,132,61,4,105,845.015889,949.4956335,0,23475.18586,21329.49815,78491.39716,142.3682631,6702.752215,22130.89758,132.9537487,3674.161143,0.000183691,8.23E-05,0,0.000893119,0.00107681,0.000506734,2.53E-05,0.000836111,0.000386385,2.53E-05,0.000665089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.256300113
41,Putatan,2001,malaria,0,0,0,0,0,50929.3,8.896603981,9,6,0,6,5,4,0,0,0,3,3,275.8313871,294.8565627,0,551.671075,95.11656022,399.485763,0,0,0,970.1546868,66.58057841,0.003391495,0.002260997,0,0.002260997,0.001884164,0.001507331,0,0,0,0.001130498,0.001130498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Ranau,2001,malaria,402,54.7,0.0052487,0,0,76590.4,8.911072041,39,24,5,234,167,43,2,11,1,10,0,1588.181588,2377.423525,180.6703401,23546.79007,48311.81425,284720.4014,104.5935155,779.8774157,9.512870671,1036.482968,0,0.000107391,6.61E-05,1.38E-05,0.000644345,0.000459853,0.000118405,5.51E-06,3.03E-05,2.75E-06,2.75E-05,0,5,171.1568359,1.38E-05,1,5,0,1,19.01762233,190.1659261,0,9.507980083,2.75E-06,1.38E-05,0,2.75E-06,3,114.0991437,8.26E-06,2.314441664
43,Sandakan,2001,malaria,62,1.7,0.000166251,1,1.6,372930,9.61049093,80,19,189,175,202,158,1,72,51,23,227,3082.279276,2273.27122,16819.31883,41370.95663,11643.62438,86237.89925,57.0441847,2920.252623,54945.70846,1959.465584,5031.801842,0.000353374,8.39E-05,0.000834846,0.000773005,0.000892269,0.000697913,4.42E-06,0.000318036,0.000225276,0.000101595,0.001002698,1,19.0150768,4.42E-06,2,0,0,0,28.53446722,0,0,0,8.83E-06,0,0,0,0,0,0,0.073309269
44,Semporna,2001,malaria,662,60,0.00564476,0,0,117276.9,5.629451737,44,12,95,120,147,113,0,31,90,3,221,3336.38216,610.0964131,5919.637669,20628.89722,8894.06307,51950.63832,0,743.4602605,17100.30907,133.4572116,7920.912738,0.000375275,0.000102348,0.000810253,0.001023477,0.001253759,0.000963774,0,0.000264398,0.000767608,2.56E-05,0.001884903,1,9.531928847,8.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.489086762
